wavelength	Species	transition	A_coeff	Eu(K)	comments	ref
2.6240898961	6HeI	3Fo-3G4-3	1.750E+03	280939.2	Blnd27	CLOUDY
2.6240908998	0HeI	3Fo-3G4-5	1.380E+06	280939.2	Blnd27	CLOUDY
2.6240920028	2HeI	3Fo-3G4-4	4.460E+04	280939.2	Blnd27	CLOUDY
2.6240958306	5HeI	3Fo-3G2-3	1.260E+06	280939.2	Blnd27	CLOUDY
2.625867	HI	4-6	7.711E+05	153419.7		CLOUDY
2.626883054	H2	v=1,J=0->v=0,J=2	8.532E-07	5987.0		MEUDON
2.635108949	H2	v=1,J=11->v=0,J=11	2.337E-07	15721.5		MEUDON
2.6751312	HI	5-13	9.148E+03	156869.4		CLOUDY
2.7582676	HI	5-12	1.402E+04	156707.3		CLOUDY
2.802516418	H2	v=1,J=1->v=0,J=3	4.222E-07	6149.0		MEUDON
2.8364	[FeIV]	4P-4D5/2-7/2	4.654E-02	55794.8		CLOUDY
2.8652	[FeIV]	4P-4D1/2-1/2	7.246E-02	55963.6		CLOUDY
2.8729959	HI	5-11	2.246E+04	156498.9		CLOUDY
2.974063593	H2	v=2,J=1->v=1,J=3	6.389E-07	11789.0		MEUDON
3.0	H2Oice	O-Hstretch			FWHM=390cm^(-1)A=20.x10^(-17)cmmol^(-1)	OTHERS
3.003868090	H2	v=1,J=2->v=0,J=4	2.895E-07	6471.4		MEUDON
3.0392022	HI	5-10	3.800E+04	156225.1		CLOUDY
3.234987632	H2	v=1,J=3->v=0,J=5	2.082E-07	6951.3		MEUDON
3.289	PAH				FWHM=0.	OTHERS
3.296992	HI	5-9	6.908E+04	155854.9		CLOUDY
3.368711362	H2	v=0,J=23->v=0,J=21	4.779E-06	34036.3		MEUDON
3.372180719	H2	v=0,J=25->v=0,J=23	5.274E-06	38302.9		MEUDON
3.381218512	H2	v=0,J=22->v=0,J=20	4.451E-06	31898.4		MEUDON
3.40	PAH					OTHERS
3.404162910	H2	v=0,J=21->v=0,J=19	4.081E-06	29765.3		MEUDON
3.411121162	H2	v=0,J=27->v=0,J=25	5.503E-06	42520.8		MEUDON
3.438575018	H2	v=0,J=20->v=0,J=18	3.680E-06	27643.2		MEUDON
3.46	PAH					OTHERS
3.4829594	HI	6-25	2.674E+02	157550.6		CLOUDY
3.485802957	H2	v=0,J=19->v=0,J=17	3.259E-06	25538.8		MEUDON
3.500809170	H2	v=1,J=4->v=0,J=6	1.497E-07	7584.3		MEUDON
3.51	PAH					OTHERS
3.547587207	H2	v=0,J=18->v=0,J=16	2.831E-06	23459.0		MEUDON
3.592456621	H2	v=1,J=23->v=1,J=21	3.614E-06	38132.6		MEUDON
3.609999534	H2	v=1,J=25->v=1,J=23	3.816E-06	42118.2		MEUDON
3.619804857	H2	v=1,J=21->v=1,J=19	3.200E-06	34127.6		MEUDON
3.626166224	H2	v=0,J=17->v=0,J=15	2.407E-06	21411.2		MEUDON
3.652077450	H2	v=1,J=20->v=1,J=18	2.933E-06	32133.2		MEUDON
3.698368298	H2	v=1,J=19->v=1,J=17	2.638E-06	30152.9		MEUDON
3.724425896	H2	v=0,J=16->v=0,J=14	1.999E-06	19403.3		MEUDON
3.740556	HI	5-8	1.388E+05	155337.5		CLOUDY
3.7493933	HI	6-17	1.966E+03	157257.1		CLOUDY
3.760417528	H2	v=1,J=18->v=1,J=16	2.325E-06	28193.6		MEUDON
3.807418799	H2	v=1,J=5->v=0,J=7	1.061E-07	8364.9		MEUDON
3.8194512	HI	6-16	2.707E+03	157186.7		CLOUDY
3.840506053	H2	v=1,J=17->v=1,J=15	2.004E-06	26262.6		MEUDON
3.846113193	H2	v=0,J=15->v=0,J=13	1.617E-06	17443.5		MEUDON
3.867748896	H2	v=2,J=21->v=2,J=19	2.389E-06	38163.2		MEUDON
3.9075486	HI	6-15	3.815E+03	157101.8		CLOUDY
3.939258181	H2	v=2,J=19->v=2,J=17	2.048E-06	34443.2		MEUDON
3.941609087	H2	v=1,J=16->v=1,J=14	1.686E-06	24367.5		MEUDON
3.996146626	H2	v=0,J=14->v=0,J=12	1.269E-06	15540.2		MEUDON
4.0208675	HI	6-14	5.526E+03	156998.0		CLOUDY
4.0377206709	HeI	3D-3Fo3-2	1.150E+04	279008.9	Blnd28	CLOUDY
4.0377226298	HeI	3D-3Fo2-2	4.020E+05	279008.9	Blnd28	CLOUDY
4.0377278612	HeI	3D-3Fo3-4	2.590E+06	279008.9	Blnd28	CLOUDY
4.0377328799	HeI	3D-3Fo3-3	2.000E+05	279008.9	Blnd28	CLOUDY
4.0377348388	HeI	3D-3Fo2-3	1.630E+06	279008.9	Blnd28	CLOUDY
4.0377528243	HeI	3D-3Fo1-2	2.170E+06	279008.9	Blnd28	CLOUDY
4.0489988963	9HeI	3Fo-3G3-3	2.170E+05	279009.6	Blnd29	CLOUDY
4.0490075680	7HeI	3Fo-3G3-4	4.050E+06	279009.6	Blnd29	CLOUDY
4.0490106016	5HeI	3Fo-3G4-3	5.430E+03	279009.6	Blnd29	CLOUDY
4.0490147312	3HeI	3Fo-3G4-5	4.260E+06	279009.6	Blnd29	CLOUDY
4.0490192733	7HeI	3Fo-3G4-4	1.380E+05	279009.6	Blnd29	CLOUDY
4.0490247310	6HeI	3Fo-3G2-3	3.910E+06	279009.6	Blnd29	CLOUDY
4.052262	HI	4-5	2.699E+06	151491.0		CLOUDY
4.067618249	H2	v=1,J=15->v=1,J=13	1.381E-06	22516.3		MEUDON
